# 단어<TAB>뜻풀이 — 우리말샘 온라인 수집 결과(자동 생성 파일, 손으로 고치지 마세요).
# scripts/exportKoreanDictCorpus.mjs 가 .github/workflows/dictionary.yml 의
# refresh 잡(매주 월요일 + 수동 실행)에서 자동으로 다시 만들어 커밋합니다.
가가	주로 편지에서, 스스로 생각하여도 우습다는 뜻으로 이르는 말. 2. ‘가가하다’의 어근. 3. 임시로…
가가득제	윷점을 쳐서 나온 점괘의 하나. 형이 동생을 만난다는 뜻으로, 집안에 동생이 태어나거나 사회에서 나를…
가가린	유리 알렉세예비치 가가린, 소련의 군인·우주 비행사(1934~1968). 1961년 인공위성인 보스토크…
가가미이시	일본 후쿠시마현(福島縣) &lt;FL&gt;이와세군&lt;/FL&gt;에 있는 정.…
가가비	개구리’의 방언
가가시	가까스로’의 방언
가가와도요히코	일본의 목사·사회사업가(1888~1960). 가난을 기독교적 사랑의 힘으로 해결하고자 노력하였으며…
가가호호	한 집 한 집. 2. 한 집 한 집마다.
가각	거리의 한 모서리. 2. ‘가각하다’의 어근.
가간	온 집안. 2. ‘가관’의 방언
가감	가감하다’의 어근. 2. 더하거나 빼는 일. 또는 그렇게 하여 알맞게 맞추는 일.
가감부득	더할 수도 덜 수도 없음.
가감승제	덧셈, 뺄셈, 곱셈, 나눗셈을 아울러 이르는 말.
가감지인	맡은 일을 넉넉히 감당할 만한 사람.
가갭다	가볍다’의 방언
가갸	가갸거겨……’로 시작되는 반절본문의 첫 두 글자.
가갸시절	글자를 처음 배우던 시절이라는 뜻으로, 아는 것이 없고 어린 때를 이르는 말.
가갸표	반절본문’의 북한어.
가걔	가게’의 방언
가거지사	과거지사’의 방언
가거지지	머물러 살 만하거나 살기 좋은 곳.
가게	물건을 파는 작은 상점.
가게른	빌헬름 하인리히 아우구스트 폰 가게른, 독일의 정치가(1799~1880). 1848년 삼월 혁명 때에…
가겍	가격’의 방언 2. ‘과격’의 방언
가겐	일본 가마쿠라 시대 &lt;FL&gt;고니조&lt;/FL&gt; 천황 때의 연호(1303~1306).
가겝다	가볍다’의 방언
가구단지	가구를 제작하거나 판매하는 공장 또는 가게가 대규모로 모여 있는 곳.
가국지회	자기의 집안이나 나라를 그리는 마음.
가깝다	어느 한곳에서 다른 곳까지의 거리가 짧다. 2. 서로의 사이가 다정하고 친하다. 3. 어떤 기준점에…
가뀌	까뀌’의 방언
가끔	시간적·공간적 간격이 얼마쯤씩 있게. 2. ‘말림갓’의 방언
가끔씩눈물이나죠	심현보 작사·작곡의 대중가요. 2003년에 발표된 팀의 노래이다.
가끔씩생각하지	강인원 작사·작곡의 대중가요. 1990년에 발표된 권인하의 노래이다.
가끔은그래도괜찮아	김윤주·박세진 작사, 작곡의 대중가요. 2014년에 발표된 옥상 달빛의 노래이다.
가끔은원시인처럼살자	조은일이 지은 책. 2001년에 간행되었다.
가끕다	가깝다’의 방언
가내댁	댁내’의 북한어. 2. 집안의 여자들.
가냐귀	까마귀’의 방언 2. ‘갈까마귀’의 방언
가냘쁘다	가냘프다’의 방언
가냘푸다	가냘프다’의 방언
가냘프다	몸이나 팔다리 따위가 몹시 가늘고 연약하다. 2. 소리가 가늘고 약하다.
가네팅	방직하고 남은 지스러기를 섬유로 환원하는 일.
가넷	모직물이나 솜, 털실의 지스러기를 처리하여 원모 상태로 만드는 기계. 2. 데이비드 가넷, 영국의…
가녁	가녘’의 북한어. 2. ‘과녁’의 방언
가녁보	맨 가장자리에 있는 들보. ⇒규범 표기는 ‘가녘보’이다.
가녁자리	중심을 벗어난 끝에 있는 자리. ⇒규범 표기는 ‘가녘 자리’이다.
가념	가념하다’의 어근.
가녕	중국 오호 십육국 시대 성한(成漢) 후주(後主) 때의 연호(346~347). 성한의 마지막 연호이다.
가노롬하다	가느다랗다’의 방언&lt;DR /&gt; 제주 지역에서는 ‘노롬다’로도 적는다.
가노수룽하다	가느다랗다’의 방언&lt;DR /&gt; 제주 지역에서는 ‘노수룽다’로도 적는다.
가눔	가늠’의 방언
가눕다	가늘다’의 방언
가느렇다	가느다랗다’의 방언
가느수룽하다	가느스름하다’의 방언&lt;DR /&gt; 제주 지역에서는 ‘느수룽다’로도 적는다.
가느스름	가느스름하다’의 어근.
가느슥하다	꽤 가느스름하다.
가느슥히	꽤 가느스름하게.
가느초롬하다	작고 가느스름하다.
가는구름	일본의 작가 히구치 이치요(樋口一葉)의 단편 소설. 1895년에 발표되었다.
가는금빛채찍벌레	금빛채찍벌렛과의 곤충. 몸의 길이는 15~18마이크로미터(㎛)이고 길쭉한 달걀 모양이며 식포 가까이에…
가는님	박춘석 작사·작곡의 대중가요. 1984년에 발표된 나미의 앨범에 수록되어 있다.
가는대말안장버섯	긴대안장버섯’의 북한어.
가는맘오는맘	김성욱 작사, 최종혁 작곡의 대중가요. 1979년에 발표된 이택림의 앨범에 수록되어 있다.
가는먼지	가늘고 보드라운 먼지.
가는부리꽉새	쇠부리슴새’의 북한어.
가는뻐꾹이끼	뻐꾹이낏과의 하나. 식물체는 높이가 5~10cm이고 곧추 자라며, 잎은 줄버들 잎 모양이다. 산에서…
가는줄돌쩌귀풀	가는줄돌쩌귀’의 북한어.
가는짝지말	노루뿔그물바탕말’의 북한어.
가는짝지발이끼	짝지발이낏과의 하나. 잎은 띠 모양이며 짝지발 모양으로 두 번 갈라지고 끝으로 가면서 점차 좁아진다.…
가는통바다지렁이	갯지렁이의 하나. 아가미는 손가락 모양이고 짧으며, 끝은 밑으로 향하여 있다. 몸에는 20~21줄의…
가늘고푸른선	미국의 &lt;FL&gt;모리스&lt;/FL&gt;(Morris, E.) 감독이 만든 다큐멘터리 영화.…
가늠	목표나 기준에 맞고 안 맞음을 헤아려 봄. 또는 헤아려 보는 목표나 기준. 2. 사물을 어림잡아 헤아림.
가늠교예	몸의 평형 감각을 이용한 곡예. 밧줄이나 사다리를 타거나 어깨를 이용하여 묘기를 보인다.
가늠바늘	스크라이빙 블록’의 북한어.
가늠베	가르마’의 방언
가늠선	목표나 기준에 맞고 안 맞음을 헤아려 볼 수 있는 일정한 한계나 그 한계를 나타내는 기준.
가늣	가늣하다’의 어근.
가닐	가닐거리다’의 어근.
가님	숨 쉬는 것을 억지로 참으며 고통을 견디려고 애쓰는 힘. ⇒규범 표기는 ‘간힘’이다.
가닛	마그네슘, 철, 망가니즈, 칼슘, 알루미늄 따위를 함유한 규산염 광물. 등축 정계에 속하며, 가루…
가닥지	가닥’의 방언 2. ‘됨됨이’의 방언
가달썩	자갈’의 방언
가닷담	거섶’의 방언
가당찮다	도무지 사리에 맞지 않다.
가당챊다	가당찮다’의 방언
가댱	가장’의 방언
가돌리늄	핀란드의 가돌린(Gadolin, J.)이 발견한 주기계 란타넘족에 속하는 희토류 원소의 하나. 흰빛의…
가동기념식	기계 설비를 설치한 후 처음 가동하는 날을 맞아 행하는 의식.
